Date,Day,Practice,Type
7/13/2022,Wednesday,YES,Running
7/14/2022,Thursday,YES,Streching
7/15/2022,Friday,YES,Weightlifting
7/16/2022,Saturday,NO,N/A
7/17/2022,Sunday,NO,N/A
7/18/2022,Monday,YES,Running
7/19/2022,Tuesday,NO,N/A
7/20/2022,Wednesday,YES,Streching
7/21/2022,Thursday,NO,N/A
7/22/2022,Friday,YES,Weightlifting
7/23/2022,Saturday,NO,N/A
7/24/2022,Sunday,NO,N/A
7/25/2022,Monday,YES,Weightlifting
7/26/2022,Tuesday,NO,N/A
7/27/2022,Wednesday,NO,N/A
7/28/2022,Thursday,YES,Weightlifting
7/29/2022,Friday,YES,Running
7/30/2022,Saturday,NO,N/A
7/31/2022,Sunday,YES,Streching
8/1/2022,Monday,NO,N/A
8/2/2022,Tuesday,YES,Weightlifting
8/3/2022,Wednesday,NO,N/A
8/4/2022,Thursday,YES,Weightlifting
8/5/2022,Friday,NO,N/A
8/6/2022,Saturday,YES,Running
8/7/2022,Sunday,NO,N/A
8/8/2022,Monday,YES,Streching
8/9/2022,Tuesday,NO,N/A
8/10/2022,Wednesday,YES,Weightlifting
8/11/2022,Thursday,YES,Weightlifting
8/12/2022,Friday,YES,Running
8/13/2022,Saturday,NO,N/A
8/14/2022,Sunday,YES,Streching
8/15/2022,Monday,NO,N/A
8/16/2022,Tuesday,NO,N/A
8/17/2022,Wednesday,YES,Weightlifting
8/18/2022,Thursday,YES,Weightlifting
8/19/2022,Friday,YES,Weightlifting
8/20/2022,Saturday,NO,N/A
8/21/2022,Sunday,NO,N/A
8/22/2022,Monday,YES,Streching
8/23/2022,Tuesday,NO,N/A
8/24/2022,Wednesday,NO,N/A
8/25/2022,Thursday,NO,N/A
8/26/2022,Friday,NO,N/A
8/27/2022,Saturday,YES,Running
